SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
PH,061-ER18,IER1800BW,Snowberry,136.1876,2.32,0.8536,62.7,63.2,061-LMA.jpg
PH,062-ER18,IER180011,boothii,81.3835,1.64,0.5939,73,63.8,062-LMA.jpg
PH,063-ER18,IER1800BX,Snowberry,93.0608,1.76,0.6928,74.4,60.6,063-LMA.jpg
PH,064-ER18,IER1800BY,Snowberry,96.2379,1.66,0.644,66.9,61.2,064-LMA.jpg
SG,085-ER18,IER18002B,Elderberry,286.7721,5.16,1.1685,40.7,77.4,085-LMA.jpg
SG,086-ER18,IER180012,boothii,83.7862,1.48,0.4766,56.9,67.8,086-LMA.jpg
SG,087-ER18,IER18002C,Elderberry,196.7017,3.53,0.7832,39.8,77.8,087-LMA.jpg
SG,088-ER18,IER18004J,glauca,111.8195,1.84,0.5941,53.1,67.7,088-LMA.jpg
SG,089-ER18,IER180013,boothii,153.558,3.18,0.9441,61.5,70.3,089-LMA.jpg
SG,090-ER18,IER18004K,glauca,105.6245,2.09,0.6705,63.5,67.9,090-LMA.jpg
SG,091-ER18,IER180014,boothii,105.9567,1.95,0.5581,52.7,71.4,091-LMA.jpg
SG,092-ER18,IER180015,boothii,90.3047,1.81,0.6011,66.6,66.8,092-LMA.jpg
SG,093-ER18,IER18001R,brachy,121.2952,2.45,0.794,65.5,67.6,093-LMA.jpg
SG,094-ER18,IER18004R,Juniper,17.5767,0.66,0.3466,197.2,47.5,094-LMA.jpg
SG,095-ER18,IER18002R,Engelmann,31.3843,2.27,1.3424,427.7,40.9,095-LMA.jpg
SG,096-ER18,IER18002S,Engelmann,34.7658,2.04,1.1258,323.8,44.8,096-LMA.jpg
SG,097-ER18,IER180006,Aspen,179.1011,3.89,1.3162,73.5,66.2,097-LMA.jpg
SG,098-ER18,IER18004W,Lodgepole,32.5562,1.92,0.9919,304.7,48.3,098-LMA.jpg
SG,099-ER18,IER18004X,Lodgepole,23.931,1.71,0.8445,352.9,50.6,099-LMA.jpg
SG,100-ER18,IER18004Y,Lodgepole,40.0136,2.64,1.2764,319,51.7,100-LMA.jpg
SG,101-ER18,IER18004Z,Lodgepole,35.7643,2.51,1.2966,362.5,48.3,101-LMA.jpg
SG,102-ER18,IER180007,Aspen,223.7109,4.81,1.6392,73.3,65.9,102-LMA.jpg
SG,103-ER18,IER180008,Aspen,144.288,2.99,1.0448,72.4,65.1,103-LMA.jpg
BD,104-ER18,IER1800CR,wolfii,81.5696,1.7,0.5601,68.7,67.1,104-LMA.jpg
BD,105-ER18,IER1800CS,wolfii,62.8488,1.1,0.4018,63.9,63.5,105-LMA.jpg
BD,106-ER18,IER180016,boothii,81.1197,1.68,0.5616,69.2,66.6,106-LMA.jpg
BD,107-ER18,IER180017,boothii,80.4981,1.38,0.3985,49.5,71.1,107-LMA.jpg
BD,108-ER18,IER180018,boothii,120.2201,2.31,0.7688,63.9,66.7,108-LMA.jpg
BD,109-ER18,IER1800CT,wolfii,80.8506,1.34,0.534,66,60.1,109-LMA.jpg
BD,110-ER18,IER18001S,brachy,89.1649,1.51,0.5106,57.3,66.2,110-LMA.jpg
BD,111-ER18,IER180026,drumm,86.6963,1.59,0.5461,63,65.7,111-LMA.jpg
BD,112-ER18,IER1800BI,PenFlo,49.577,0.87,0.359,72.4,58.7,112-LMA.jpg
BD,113-ER18,IER1800BJ,PenFlo,54.3426,0.96,0.3879,71.4,59.6,113-LMA.jpg
BD,114-ER18,IER18002T,Engelmann,24.6638,1.86,1.0659,432.2,42.7,114-LMA.jpg
BD,115-ER18,IER18002U,Engelmann,34.3386,2.15,1.3276,386.6,38.3,115-LMA.jpg
BD,116-ER18,IER18002V,Engelmann,28.3867,1.96,1.1264,396.8,42.5,116-LMA.jpg
BD,117-ER18,IER18002W,Engelmann,26.4568,2.24,1.2611,476.7,43.7,117-LMA.jpg
BD,118-ER18,IER180009,Aspen,251.9104,4.2,1.5481,61.5,63.1,118-LMA.jpg
BD,119-ER18,IER18002X,Engelmann,40.7344,2.96,1.7403,427.2,41.2,119-LMA.jpg
T403,120-ER18,IER1800C4,SubFir,30.4476,1.7,0.8851,290.7,47.9,120-LMA.jpg
T403,121-ER18,IER18002Y,Engelmann,33.2472,2.65,1.473,443,44.4,121-LMA.jpg
